Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/05  15:00:00,1.236954926,1.369362255,0,1.343178758,0,0.034781722,0.034781722,0.034781722,0.128349577,0.027649903,0.292642171,0.380136245,0.356751309
 01/05  16:00:00,1.307312699,1.171087585,0,1.14344862,0,0.029763446,0.029763446,0.029763446,0.160436991,0.034562383,0.302863616,0.401266965,0.361775298
 01/05  17:00:00,1.612070627,1.19414525,0,1.161453198,0,0.030469373,0.030469373,0.030469373,0.269534103,0.058064812,0.353720743,0.474628493,0.409009102
 01/05  18:00:00,2.217564041,2.340560865,0,2.300845247,0,0.060814846,0.060814846,0.060814846,0.500563357,0.107834641,0.445069937,0.576597765,0.510039495
 01/05  19:00:00,2.626374646,1.853056948,0,1.809937774,0,0.047372483,0.047372483,0.047372483,0.744427561,0.160369476,0.398283704,0.626011142,0.60326628
 01/05  20:00:00,2.606625623,1.990383652,0,1.945876186,0,0.050659703,0.050659703,0.050659703,0.789349925,0.170046944,0.315345897,0.646166599,0.618412555
 01/05  21:00:00,2.412922995,2.436218775,0,2.390181201,0,0.062126498,0.062126498,0.062126498,0.680252812,0.146544516,0.275874928,0.668380946,0.563099295
 01/05  22:00:00,2.195136907,3.030229914,0,2.985267147,0,0.077433271,0.077433271,0.077433271,0.5711557,0.123042104,0.258342283,0.652776722,0.495742827
 01/05  23:00:00,1.789685513,3.574910138,0,3.536000625,0,0.091376771,0.091376771,0.091376771,0.429971094,0.092627195,0.205880856,0.564894597,0.388291
 01/05  24:00:00,1.380771409,4.16059797,0,4.126786328,0,0.106390712,0.106390712,0.106390712,0.295204003,0.063594789,0.135920782,0.490882893,0.27213423
